Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
shorts,Category,short shorts,7522,9.04%,"$54,989.70"
long,Length,back in action long,6622,16.82%,"$77,277.35"
align,Collections,align bodysuit,7504,9.77%,"$83,571.20"
hotty hot,Collections,hotty hot low rise,8429,19.52%,"$114,422.20"
pants,Category,flare pants,7825,7.29%,"$62,809.60"
shorts,Category,shorts women,5974,6.08%,"$27,955.60"
women,Category,shorts women,5974,6.08%,"$27,955.60"
sweatpants,Category,women's sweatpants,8021,6.80%,"$63,929.20"
steady state,Collections,steady state,14448,18.64%,"$293,097.90"
align,Collections,align pant,10414,16.00%,"$177,550.90"
speed up,Collections,speed up 4,7917,15.99%,"$87,816.75"
4,Size,speed up 4,7917,15.99%,"$87,816.75"
hoodies,Attribute,hoodies,8810,7.55%,"$82,415.30"
pants,Category,mens pants,8658,18.59%,"$231,776.55"
pastel blue,Color name,pastel blue,5177,3.69%,"$11,400.00"
blue,Color Family,pastel blue,5177,3.69%,"$11,400.00"
align,Collections,ribbed align,9747,14.28%,"$152,387.05"
love,Collections,love crew t shirt,7986,14.10%,"$75,595.55"
align,Collections,align 28,9428,16.74%,"$161,514.57"
28,Size,align 28,9428,16.74%,"$161,514.57"
keychains,Attribute,keychains,9595,11.94%,"$25,618.30"
short,Length,womens short,5856,9.79%,"$45,427.05"
tank tops,Category,racerback tank tops,6034,6.53%,"$26,384.10"
align,Collections,align high neck,7630,11.50%,"$53,742.60"
joggers,Category,Women’s joggers,5870,8.24%,"$54,247.00"
moonlit magenta,Color name,moonlit magenta,4380,5.43%,"$15,242.95"
swiftly,Collections,swiftly short sleeve,7311,8.84%,"$48,529.95"
short,Length,swiftly short sleeve,7311,8.84%,"$48,529.95"
brown,Color Family,brown,7378,6.28%,"$47,319.72"
speed up,Collections,speed up short,6511,10.89%,"$51,372.70"
short,Length,speed up short,6511,10.89%,"$51,372.70"
all yours,Collections,all yours shirts,6997,11.70%,"$56,488.10"
shirts,Category,all yours shirts,6997,11.70%,"$56,488.10"
perfectly oversized,Collections,perfectly oversized cropped crew,8010,12.51%,"$106,298.45"
cropped,Length,perfectly oversized cropped crew,8010,12.51%,"$106,298.45"
city sweat,Collections,city sweat,8703,17.20%,"$162,611.66"
metal vent tech,Collections,metal vent tech,9130,20.34%,"$156,630.86"
leggings,Category,flared leggings,13992,12.50%,"$202,197.75"
align,Collections,align leggings with pockets,8334,18.57%,"$203,136.45"
